"db--table--sql: idc-- -- 
        select table_name,table_rows from information_schema.tables
report_feedbackrecord,0
report_userfeedbackrecord_tags,0
report_userfeedbacktag,0
xadmin_bookmark,0
xadmin_userwidget,0
"db--table--sql: mysql-- -- 
        select table_name,table_rows from information_schema.tables
        where TABLE_SCHEMA = 'mysql' order by table_rows desc;"
TABLE_NAME,TABLE_ROWS
help_relation,2416
innodb_index_stats,1336
help_keyword,885
help_topic,602
innodb_table_stats,173
help_category,53
global_grants,47
server_cost,6
user,4
slow_log,2
db,2
engine_cost,2
replication_group_member_actions,2
general_log,2
tables_priv,2
replication_group_configuration_version,1
proxies_priv,1
component,0
default_roles,0
func,0
replication_asynchronous_connection_failover_managed,0
replication_asynchronous_connection_failover,0
procs_priv,0
role_edges,0
plugin,0
servers,0
slave_master_info,0
slave_relay_log_info,0
slave_worker_info,0
password_history,0
gtid_executed,0
time_zone,0
time_zone_leap_second,0
time_zone_name,0
time_zone_transition,0
time_zone_transition_type,0
columns_priv,0
"db--table--sql: performance_schema-- -- 
        select table_name,table_rows from information_schema.tables
        where TABLE_SCHEMA = 'performance_schema' order by table_rows desc;"
TABLE_NAME,TABLE_ROWS
events_errors_summary_by_thread_by_error,403200
events_errors_summary_by_account_by_error,201600
events_errors_summary_by_host_by_error,201600
events_errors_summary_by_user_by_error,201600
variables_by_thread,171776
events_waits_summary_by_thread_by_event_name,167424
session_account_connect_attrs,131072
session_connect_attrs,131072
memory_summary_by_thread_by_event_name,115200
data_lock_waits,99999
data_locks,99999
events_waits_summary_by_account_by_event_name,83712
events_waits_summary_by_host_by_event_name,83712
events_waits_summary_by_user_by_event_name,83712
status_by_thread,64768
memory_summary_by_account_by_event_name,57600
memory_summary_by_host_by_event_name,57600
memory_summary_by_user_by_event_name,57600
events_statements_summary_by_thread_by_event_name,56064
events_stages_summary_by_thread_by_event_name,44800
status_by_account,32384
status_by_host,32384
status_by_user,32384
events_statements_summary_by_account_by_event_name,28032
events_statements_summary_by_host_by_event_name,28032
events_statements_summary_by_user_by_event_name,28032
events_waits_summary_by_instance,24576
events_stages_summary_by_account_by_event_name,22400
events_stages_summary_by_host_by_event_name,22400
events_stages_summary_by_user_by_event_name,22400
mutex_instances,16384
events_stages_history_long,10000
events_statements_histogram_by_digest,10000
events_statements_history_long,10000
events_statements_summary_by_digest,10000
events_transactions_history_long,10000
events_waits_history_long,10000
replication_applier_status_by_worker,8192
table_io_waits_summary_by_index_usage,8192
events_errors_summary_global_by_error,5062
file_instances,4096
file_summary_by_instance,4096
objects_summary_global_by_type,4096
table_io_waits_summary_by_table,4096
table_lock_waits_summary_by_table,4096
metadata_locks,3072
rwlock_instances,3072
events_stages_history,2560
events_statements_current,2560
events_statements_history,2560
events_transactions_history,2560
events_waits_history,2560
user_variables_by_thread,2560
events_waits_current,1536
setup_instruments,1500
