Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
appforminfo,InnoDB,10,Dynamic,11,1489,16384,0,0,0,,2023-06-01 15:12:09,,,utf8mb3_general_ci,,,
db--table--sql: ecology--appformui-- show table status from `ecology` like 'appformui';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
appformui,InnoDB,10,Dynamic,0,0,16384,0,0,0,,2023-06-01 15:03:12,,,utf8mb3_general_ci,,,
db--table--sql: ecology--apphomepage-- show table status from `ecology` like 'apphomepage';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
apphomepage,InnoDB,10,Dynamic,0,0,16384,0,0,0,,2023-06-01 15:03:13,,,utf8mb3_general_ci,,,
db--table--sql: ecology--apphomepage_model-- show table status from `ecology` like 'apphomepage_model';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
apphomepage_model,InnoDB,10,Dynamic,0,0,16384,0,0,0,,2023-06-01 15:03:13,,,utf8mb3_general_ci,,,
db--table--sql: ecology--apphomepagefolder-- show table status from `ecology` like 'apphomepagefolder';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
apphomepagefolder,InnoDB,10,Dynamic,0,0,16384,0,0,0,,2023-06-01 15:03:13,,,utf8mb3_general_ci,,,
db--table--sql: ecology--appkeypath-- show table status from `ecology` like 'appkeypath';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
appkeypath,InnoDB,10,Dynamic,30,546,16384,0,0,0,30,2023-06-01 15:03:13,,,utf8mb3_general_ci,,,
