"schema--table--sql: BENCHMARKSQL--dba_tables-- SELECT table_name ,num_rows  FROM dba_tables WHERE OWNER='BENCHMARKSQL'and num_rows is not null order by num_rows desc"
TABLE_NAME,NUM_ROWS
TEST_FKTB_1180,100
TEST_FKTB_1181,100
TEST_FKTB_1182,100
TEST_FKTB_1183,100
TEST_FKTB_1184,100
TEST_FKTB_1185,100
TEST_FKTB_1186,100
TEST_FKTB_1187,100
TEST_FKTB_1188,100
TEST_FKTB_1189,100
TEST_FKTB_119,100
TEST_FKTB_1190,100
TEST_FKTB_1191,100
TEST_FKTB_1192,100
TEST_FKTB_1193,100
TEST_FKTB_1194,100
TEST_FKTB_1195,100
TEST_FKTB_1196,100
TEST_FKTB_1197,100
TEST_FKTB_1198,100
TEST_FKTB_1199,100
TEST_FKTB_12,100
TEST_FKTB_120,100
TEST_FKTB_1200,100
TEST_FKTB_1201,100
TEST_FKTB_1202,100
TEST_FKTB_1203,100
TEST_FKTB_1204,100
TEST_FKTB_1205,100
TEST_FKTB_1206,100
TEST_FKTB_1207,100
TEST_FKTB_1208,100
TEST_FKTB_1209,100
TEST_FKTB_121,100
TEST_FKTB_1210,100
TEST_FKTB_1211,100
TEST_FKTB_1212,100
TEST_FKTB_1213,100
TEST_FKTB_1214,100
TEST_FKTB_1215,100
TEST_FKTB_1216,100
TEST_FKTB_1217,100
TEST_FKTB_1218,100
TEST_FKTB_1219,100
TEST_FKTB_122,100
TEST_FKTB_1220,100
TEST_FKTB_1221,100
TEST_FKTB_1222,100
TEST_FKTB_1223,100
TEST_FKTB_1224,100
TEST_FKTB_1225,100
TEST_FKTB_1226,100
TEST_FKTB_1227,100
TEST_FKTB_1228,100
TEST_FKTB_1229,100
TEST_FKTB_123,100
TEST_FKTB_1230,100
TEST_FKTB_1231,100
TEST_FKTB_1232,100
TEST_FKTB_1233,100
TEST_FKTB_1234,100
TEST_FKTB_1235,100
TEST_FKTB_1236,100
TEST_FKTB_1237,100
TEST_FKTB_1238,100
TEST_FKTB_1239,100
TEST_FKTB_124,100
TEST_FKTB_1240,100
TEST_FKTB_1241,100
TEST_FKTB_1242,100
TEST_FKTB_1243,100
TEST_FKTB_1244,100
TEST_FKTB_1245,100
TEST_FKTB_1246,100
TEST_FKTB_1247,100
TEST_FKTB_1248,100
TEST_FKTB_1249,100
TEST_FKTB_125,100
TEST_FKTB_1250,100
TEST_FKTB_1251,100
TEST_FKTB_1252,100
TEST_FKTB_1253,100
TEST_FKTB_1254,100
TEST_FKTB_1255,100
TEST_FKTB_1256,100
TEST_FKTB_1257,100
TEST_FKTB_1258,100
TEST_FKTB_1259,100
TEST_FKTB_126,100
TEST_FKTB_1260,100
TEST_FKTB_1261,100
TEST_FKTB_1262,100
TEST_FKTB_1263,100
TEST_FKTB_1264,100
TEST_FKTB_1265,100
TEST_FKTB_1266,100
TEST_FKTB_1267,100
TEST_FKTB_1268,100
TEST_FKTB_1269,100
TEST_FKTB_127,100
TEST_FKTB_1270,100
TEST_FKTB_1271,100
TEST_FKTB_1272,100
TEST_FKTB_1273,100
TEST_FKTB_1274,100
TEST_FKTB_1275,100
TEST_FKTB_1276,100
TEST_FKTB_1277,100
TEST_FKTB_1278,100
TEST_FKTB_1279,100
TEST_FKTB_128,100
TEST_FKTB_1280,100
TEST_FKTB_1281,100
TEST_FKTB_1282,100
TEST_FKTB_1283,100
TEST_FKTB_1284,100
TEST_FKTB_1285,100
TEST_FKTB_1286,100
TEST_FKTB_1287,100
TEST_FKTB_1288,100
TEST_FKTB_1289,100
TEST_FKTB_129,100
TEST_FKTB_1290,100
TEST_FKTB_1291,100
TEST_FKTB_1292,100
TEST_FKTB_1293,100
TEST_FKTB_1294,100
TEST_FKTB_1295,100
TEST_FKTB_1296,100
TEST_FKTB_1297,100
TEST_FKTB_1298,100
TEST_FKTB_1299,100
TEST_FKTB_13,100
TEST_FKTB_130,100
TEST_FKTB_1300,100
TEST_FKTB_1301,100
TEST_FKTB_1302,100
TEST_FKTB_1303,100
TEST_FKTB_1304,100
TEST_FKTB_1305,100
TEST_FKTB_1306,100
TEST_FKTB_1307,100
TEST_FKTB_1308,100
TEST_FKTB_1309,100
TEST_FKTB_131,100
TEST_FKTB_1310,100
TEST_FKTB_1311,100
TEST_FKTB_1312,100
TEST_FKTB_1313,100
TEST_FKTB_1314,100
TEST_FKTB_1315,100
TEST_FKTB_1316,100
TEST_FKTB_1317,100
TEST_FKTB_1318,100
TEST_FKTB_1319,100
TEST_FKTB_132,100
TEST_FKTB_1320,100
TEST_FKTB_1321,100
TEST_FKTB_1322,100
TEST_FKTB_1323,100
TEST_FKTB_1324,100
TEST_FKTB_1325,100
TEST_FKTB_1326,100
TEST_FKTB_1327,100
TEST_FKTB_1328,100
TEST_FKTB_1329,100
TEST_FKTB_133,100
TEST_FKTB_1330,100
TEST_FKTB_1331,100
TEST_FKTB_1332,100
TEST_FKTB_1333,100
TEST_FKTB_1334,100
TEST_FKTB_1335,100
TEST_FKTB_1336,100
TEST_FKTB_1337,100
TEST_FKTB_1338,100
TEST_FKTB_1339,100
TEST_FKTB_134,100
TEST_FKTB_1340,100
TEST_FKTB_1341,100
TEST_FKTB_1342,100
TEST_FKTB_1343,100
TEST_FKTB_1344,100
TEST_FKTB_1345,100
TEST_FKTB_1346,100
TEST_FKTB_1347,100
TEST_FKTB_1348,100
TEST_FKTB_1349,100
TEST_FKTB_135,100
TEST_FKTB_1350,100
TEST_FKTB_1351,100
TEST_FKTB_1352,100
TEST_FKTB_1353,100
TEST_FKTB_1354,100
TEST_FKTB_1355,100
TEST_FKTB_1356,100
TEST_FKTB_1357,100
TEST_FKTB_1358,100
TEST_FKTB_1359,100
TEST_FKTB_136,100
TEST_FKTB_1360,100
TEST_FKTB_1361,100
TEST_FKTB_1362,100
TEST_FKTB_1363,100
TEST_FKTB_1364,100
TEST_FKTB_1365,100
TEST_FKTB_1366,100
TEST_FKTB_1367,100
TEST_FKTB_1368,100
TEST_FKTB_1369,100
TEST_FKTB_137,100
TEST_FKTB_1370,100
TEST_FKTB_1371,100
TEST_FKTB_1372,100
TEST_FKTB_1373,100
TEST_FKTB_1374,100
TEST_FKTB_1375,100
TEST_FKTB_1376,100
TEST_FKTB_1377,100
TEST_FKTB_1378,100
TEST_FKTB_1379,100
TEST_FKTB_138,100
TEST_FKTB_1380,100
TEST_FKTB_1381,100
TEST_FKTB_1382,100
TEST_FKTB_1383,100
TEST_FKTB_1384,100
TEST_FKTB_1385,100
TEST_FKTB_1386,100
TEST_FKTB_1387,100
TEST_FKTB_1388,100
TEST_FKTB_1389,100
TEST_FKTB_139,100
TEST_FKTB_1390,100
TEST_FKTB_1391,100
TEST_FKTB_1392,100
TEST_FKTB_1393,100
TEST_FKTB_1394,100
TEST_FKTB_1395,100
TEST_FKTB_1396,100
TEST_FKTB_1397,100
TEST_FKTB_1398,100
TEST_FKTB_1399,100
TEST_FKTB_14,100
TEST_FKTB_140,100
TEST_FKTB_1400,100
TEST_FKTB_1401,100
TEST_FKTB_1402,100
TEST_FKTB_1403,100
TEST_FKTB_1404,100
TEST_FKTB_1405,100
TEST_FKTB_1406,100
TEST_FKTB_1407,100
TEST_FKTB_1408,100
TEST_FKTB_1409,100
TEST_FKTB_141,100
TEST_FKTB_1410,100
TEST_FKTB_1411,100
TEST_FKTB_1412,100
TEST_FKTB_1413,100
TEST_FKTB_1414,100
TEST_FKTB_1415,100
TEST_FKTB_1416,100
TEST_FKTB_1417,100
TEST_FKTB_1418,100
TEST_FKTB_1419,100
TEST_FKTB_142,100
TEST_FKTB_1420,100
TEST_FKTB_1421,100
TEST_FKTB_1422,100
TEST_FKTB_1423,100
TEST_FKTB_1424,100
TEST_FKTB_1425,100
